   ,MANDATEREFERENCE,COLLECTIONAMOUNT
1,340293757135,27040
2,340293806310,2080
3,160293129597,27040
4,120293068295,15600
5,130293068408,41600
6,270293790889,31200
7,100293222328,15600
8,340293106686,1040
9,230293795173,15600
10,140295404479,13520
11,130295408354,20800
12,310295409203,7280
13,270295360817,9672
14,270295361157,6240
15,150295435773,18720
16,320295430808,5200
17,100297084657,27040
18,270295402563,7.28
19,260295402567,15288
20,210295403102,26000
21,170295528985,2392
22,120295388906,52000
23,210295389892,8632
24,140295388832,3495.44
25,140295388907,46488
26,210295388944,20800
